tweets,label
"Scrr, ainda bem ❤, pq falaram q o Tom não iria aparecer em Infinity War :( https://t.co/3KRjJ6D3VI",0
aquele triste momento que tu tem um amigo tricolor :( https://t.co/MF4yHk0Cix,0
necesito mas amigas :(,0
eu queria tanto o Berrío quarta :(,0
minha garganta tá doendo mt :(,0
"agora só porque eu mudei pro sul e não vou no estádio mais eu não posso torcer pro goiás, paia demais tô triste :( https://t.co/WCe9EBe9dS",0
Hoje tem MARA e eu vou ficar em casa :(,0
eu quero pegar a do Torb azul :( https://t.co/GWzlSH8lWc,0
a meu amor ela deve tá tão cansada eu quero cuidar dela :( https://t.co/dvRJBVeByn,0
"Migos eu criei uma conta nova no Instagram, me sigam novamente pois a antiga já era :( o user é liviabregis",0
Achei que ia ser dessa vez :( https://t.co/gAF7ArLS0g,0
ainda é cedo :( https://t.co/llXvoRc1wb,0
o cabelo o rostinho :( jeon eu te amo o infinito e alem,0
Estou com tanto sono :(,0
Sdds da minha linda namo :(,0
eu escuto a vizinha assistindo o faustao e o coração aperta de saudade de casa porque era o programa de todo domingo com a família :(,0
@fuckingnash_ ele comeu o Tobias :(,0
saudades das noites jogando just dance na casa de lauriza. saudades ser vizinha de lauriza e quase morar na casa delas. saudades lauriza :(,0
"@opabrubs oi Bru, me abraça terça na faculdade
n aguento mais, cara, tá muito foda aqui em casa :(",0
sonhei com o gostinho do lucky strike q delicia :(,0
"A TPM fodendo o rolê, só quero chorar no dia de hoje... :(",0
@luisataveira sim :( aff quero,0
alguém pra me alegrar agora... ao meu lado :(,0
Tadinho do meu Keiller :(,0
você é uma das pessoas mais fortes que eu já vi e n... — mt obrigada por isso anjinho :( as pessoas dizem qu... https://t.co/pt5U85fk1c,0
@houistans top eh tao importante p mim bicho :(,0
@AbnerThiago2 Aham :( se tivesse entrado não teria perdido,0
não acredito que minhas amigas me abondonaram :(,0
"@thurmiclovers Amoooor, ja deixo vc aparecer viu? :(",0
Já quero o fefe cmg :(,0
tou com pena da senhora :( #pesadelonacozinha,0
ja morrendo de saudade de duda :(,0
@thiagodutrra kkkkkkkkkkkkkk o pior eh que pesa mesmo :( joga na cara nao que eu fico até triste,0
@leonarddsn1 E não é pouco :(,0
"https://t.co/pjFCbNUNew

Descanse em paz Belchior!
:( https://t.co/VkqIma5cR6",0
"@mgonagaII Ai, foi quando o pai dela tava nas últimas :(",0
normani eu te amo muito :(,0
que saudade do meu gato :(,0
passou-se :(,0
shinee terminou a tour no japão e eu não pude acompanhar praticamente nada :(,0
:( meu amor some,0
@FeCastanhari vejo suas fotos com ele e fico triste lembrando da minha que era iguaizinha e meu vizinho envenenou ela :(,0
Agora tô fome :(,0
"quantas vezes eu preciso dizer que você é linda e q... — ainn :( ta bom, coloquei uma só pq você pediu! https://t.co/CqI0lliqqf",0
"Nem vou no 182, to passando mal :-(",0
"@beatriz_sartore poxa ami :(, tadinho",0
@unicordrama Não fala assim :(,0
@kimyugyeown infelizmente não :(,0
@frrdias1 aaaaa obrigada amor :(,0
queria :( https://t.co/NhfSn34kso,0
@Casamento_Nerd Queria ter ido :(,0
só queria uma mensagem fofa :(,0
"@JosethRivas que horrible :(, ver series acostado o dormir",0
@ss_gaab amiga eu vivo esse drama também :(,0
@_guiarjonas tô c tanta saudade :(,0
Tenho que comprar algo p festinha ainda :(,0
N queria ir embora :(,0
@kindszayn A melhor forma pra você é a gente separado? :(,0
"Eu - isso faz me mal ao coração 
Pai - tu tens coração?  
 RIP :(",0
"@CarolValenteen Caralho, sério isso? :(
Nunca mais acompanhei ela",0
Tô com sono :(,0
"você é tão lindo, sik :( https://t.co/CYGdHHH1X3",0
A nova apareceu nem vou dormi + :(:,0
@Estherbpereira volta aqui :(,0
"Queria tanto cortar uma franjinha, mas não combina com o meu rosto. :(",0
minseok disse q te ama — ele mentiu :(  https://t.co/gHyy3j6zoD,0
"@PatoPapao Simplesmente triste :(, mas #GoRed",0
"@CapitaoCouto Desculpa :( 
Só te trato bem por causa do Thor",0
"@Be_Bassinger Eu conto sim nem vem, você some :( Não pode sumir",0
tô super confusa entre letras-literatura inglesa (portuguesa junto né se eu fizer br) ou direito.... ah meu deus do céu :(,0
@GieLeeo É sim more :(,0
@doctorhswho caralho que dor :(,0
nao quero estudar :(,0
fale um pouco sobre seu utt — poxa eu nao consigo :( https://t.co/fIGhPAaM6P,0
"@flaviabrasil Simm, tá difícil por aqui e eu me alimento bem :(",0
@anittaftsophia desculpa nenê :(,0
@nes_mesquita Não me convidaste :(,0
@thuanny_kelly Só pq eu não tô aí vc vai :(,0
@arianapoesie te amo pequeno amjo n me trata assim :(,0
@wesccola os olhares :( :( tô bem tristona agora,0
"@mgonagaII Pois é. Queria que Kate tivesse ido ver a peça da Amy também, mas If I Forget ficou mais tempo em cartaz que Rules of Seconds :(",0
"@emstorniolo Ahh, não vi migo :( desculpaaaa",0
eu amo o jackj demais não consigo ver ele mal :(,0
Aí queria tbm :( https://t.co/kDkk1rcXiC,0
bar :-( : b4de7e91-44a2-4226-b0c4-f72e313fbfd0,0
"@Beatriz_CND KKKKKKKKKKK miga sua lok no domingo eu tenho uma prova super importante, se n fosse isso eu ia :(",0
Fico trist quando minha parseragi vai embora :(,0
aaaaa dor de cabeça :(,0
@_lokalokaloka hahahaha nem :( ele que instala,0
Eu só queria umas musicinha nova :(,0
eu queria alguém pra trocar mentions comigo :(,0
"NÃO! Tá dando merda. :(
#GORED",0
"ah mano, qq é isso :( #MSI2017 #REDWIN",0
té mais :(,0
@CarolS_soares Que ódio eu gostava de ver quem seguia minhas coisas :(,0
@regislezz poxa desculpa :(,0
"byungchan, você é lindo demais :(",0
@cmanczur Sinto muito :(,0
eu só queria ser mais legalzinha pra todo mundo :(,0
@Kzi17 Bateu até a bad agr :(,0
@camilaonlys :( eu não sou,0
Fogo João era segredo :( https://t.co/SwFc07B9VQ,0
"Eu tipo, só quero desenhar :(",0
Poxa foi rapidinho que ela apareceu :(,0
"@_israelsilvaa Fds é o  melhor sempre , agr tenho q esperar o próximo :(",0
Pq nadie me felicita?:(,0
@proudtwice De saudade :(,0
"Hahah tenho um monte de amigos q estão no faustao para ver Wan, faz tanto tempo q n a vejo :( ♥",0
@JoaoCastroSport esse parece que não serve :(,0
no cortei meu dedo dá doendo demais :(,0
tão linda o amor da minha vida :( https://t.co/8N0fsOMPRL,0
@dontparadise Tadinha :(,0
estou a ficar constipada :( por causa destas mudanças de tempo,0
@sarasilvafigue1 é bom saber :( https://t.co/axp4U4MGsv,0
"Pqp agora eu moro de vez em SP, mãe comprou casa la afff :(",0
@carbells7 eu não te vi :( mas da proxima eu aviso s,0
Mas ou chegam em maio ou em junho :(,0
"Queria demais ver a Livinha hoje, mas eu tá passando mal atrapalhou :(",0
"@chatshire_ Te invejo, queria ter esse hábito :(",0
@_mariag99_ Nem sabemos o nome dele :(,0
KD versão full :( https://t.co/K3yu8ueysE,0
"Meu denguinho foi trabalhar, a nemmm :(",0
Dioud tá vacilando muito #RedCanids :(,0
"Como eu queria uma pessoa pra mim ficar trovando fiado, falando merda, compartilhar meme, ai :(",0
Red ta vacilando de mais mano :(,0
Tô acompanhando esse jogo só pelo tt e agoniada :(,0
@_tavarezzz Queria ter capacidade intelectual e audiovisual pra produzir essa obra de arte :(,0
".@andreiafranck de saudades tuas e isto começa a complicar! Fazes-me falta :( és lindaa, adoro tudo em ti, nunca mudes bebé ❤️ simpática",0
Alguém q diga sítios p explicações para matemática pls.  :(,0
laurinah é tão lindo :(,0
@jetaimecoups eu não quero incomodar você com isso mi :(,0
@mlgaldino @pirulaaz para vei :( sou só inocente mesmo,0
@tapocaopiniao ooohhhh bb! :( chegay to aqui ti ami,0
o tempo tá passando rápido demais :(,0
"@baianolol1 isso que a red abriu 4-0, tenso :(",0
"Eu fico tão triste com esses bugs que ñ me deixa ver quem citou meus tweets
Serassi a pessoa pensa que ficou no vácuo? 
Gente, desculpa :(",0
@boas_tamiris Poxa Tamiris :(,0
@BagaSantos4 poxa n fala isso :(,0
Luan cantando amar nao é pecado versão ao vivo no rio sentadinho aaaaaaa já tô com saudades :(,0
"@ana_negra é sério, passei uma vida sendo fa desse homem. Aí o cada vira o ápice do chorume. Foi uma desilusão amorosa forte demais :( KKKK",0
Deus me ilumine a ter um relacionamento tão lindo assim​ :( https://t.co/UPHYYVpaXk,0
olha To bem triste  :(  meus casais se separando,0
@coffeeandpaper eu nao lembro de onde vc é :(,0
@PatoPapao pato papao 1 vídeo a cada um Campeao novo :(,0
"@brubarrosn Não precisa falar a verdade assim, na cara :(",0
@lucas_flames @pipiucota Tá foda né :(,0
tô doente :(,0
Se sentido sozinha :(,0
estou tao triste :(,0
"cara nunca pensei q quase choraria por lol :(
eu qnd gosto do time torço demais, mas ok ganha desses turcos fdp e foco no 2° split
#GORED",0
Se maio não tiver @Cat_Dealers em SC vou ficar bem chateada. Quero comemorar meu aniversário :(,0
"O problema da red nesse jogo foi os drags que a DW pegou, o dioud e o tockers trollando um tequinho, e o brtt apagado no game... :( sad",0
mas é tão difícil :-(,0
"alguém me leva pra lanchar, estou triste :(",0
@HandsomeDeevil Mas eu não fiz nada :(,0
@isathalia Eu tive que assistir a cena pausando porque eu não aguentava ver ela assim :(,0
o mundo é mais feliz só por causa da sua existência — o que você ta querendo em :-( https://t.co/VuzYIW7zVC,0
Ahh man.. Red está fora do msi :( #Gored #ForçaRed,0
@motorixta verdade mas quem tem tempo ultimamente né :(,0
"@caju_sz @brttOficial @tockerslol @nappon_ @robolol1 @Dioudlol Poxa caju, SMP q o brtt pega cait ele perde :(, fala… https://t.co/f3pnzZlPu2",0
@_pottter @chxrliebjr Eu sou ágata :(,0
Essa torcida desanimada só desanima mais ainda os caras :(,0
"Jogaram muito bem Red, mesmo esse jogo não valendo mais nada espero que deêm um show :( #GoRed #MSI2017",0
Queria ir pro BM .. maaaaaaas :(,0
@williangordox tao fora :(,0
"@nobiebermodel Tbm, mas aquele gank 2x2 no top deu mt ruim :( se n tivesse acontecido tbm seria win",0
@Wearegiven Ele não tava 100% :(,0
@williangordox Igual vc na md5 gordão :(,0
SÓ A MIM É QUE NÃO MANDAM :( https://t.co/ktnIR3dDfQ,0
Só queria voltar pro dia 31 de janeiro e dizer não pra aquela maldita pergunta :(,0
sim :( infelizmente https://t.co/8rFybuiI0g,0
Rasguei meu but la :(,0
AHHH eu tô tão triste :(,0
"@Kaiquelovee Kaique, ficamos preocupados com seu tweet :( Conta pra gente por DM o que houve, pode ser?",0
@marinafreitasd @BestEarthPix KKKKKK tão bunitin :(,0
"nossa cara o Yoda tá chorando :(
#gored #redwin #MSI2017",0
@marlatuita Nossa q ruim :(,0
@taegomx :( o caralho é melhor comprares bolo senao eu obrigo-te,0
O mate doce queimou toda minha língua :(,0
"Aah cara, eu não aguento isso :(",0
@drunkinaaron Não tem mais depois desse :(,0
@picoca @Kamizeon Aqueles pick offs que voce tomou atrapalaharam demais ! Acabou com o jogo :(,0
Mozão foi embora :(,0
@overdoexo putz ce nao pode ir nao? :(,0
Mozão tá passando mal e eu tô longe dela :(,0
@Em_Taw sdds também mozão :(,0
"@tixinhadois minha vida é uma piada...
feelsbadman :(",0
Krai o Dioud ta morto ali na cadeira  :(,0
@tutu_gomess pq eu não tô pilhada :(,0
Como sempre ninguém falando cmg :(,0
"Quando eu falo que vou dirigir todo mundo fala ""não queremos morrer tão cedo"" kkkkkkkkkk :(",0
Queria apagar esse dia :(,0
Fofof :(,0
gostaria de ser menos furona com luiza mas forças maiores me fazem ser :(,0
"também achei um maio lindo da d.va mas
pra variar
não
cabe
em
mim
:(",0
@IMTPortilho é o jeito :(,0
O que aconteceu com a RED? Eu cheguei agora em casa :(,0
nao termina comigo egua :(,0
@b_marimelo Você me abandonou :(,0
pq minha vida tem q ser assim :(,0
"tava assistindo o segundo game da RED e tava tudo indo bem
ai eu sai e quando voltei a RED tinha perdido :(",0
eles tavam presos num vidro tentando sair :(,0
@aymemills Fala cmg :(,0
esse twitch tiinha q ser na passada paai :(,0
ela é o bebê mais lindo do mundo ela :( https://t.co/MUC88UKR2Y,0
"De acordo com a OMS, pelo menos 1% da população MUNDIAL sofre com transtornos alimentares. 90% são mulheres. :( https://t.co/KB9Cqzu8XT",0
@JackJ nenê :(,0
@xiaaxira07 E não :(,0
@rossettamx Jaqueline :(,0
"Nunca fiz toto em nenhum lugar a não ser na minha casa, meu cu tá estranhando :(",0
"@fumarmarkonha NOSSA MAAY :( para com isso, eu to mal de verdade",0
cade meu dinheiro ? :(,0
@mariaa_ritaaa6 É tudo a mesma merda xD para de gozar comigo :(,0
@nathanalves20 @momentsbrasil @REDCanids droga :(,0
tristezinha até demais :( https://t.co/2b4kg0vHej,0
@lovelylaraaa Também queria que tu estivesse aqui :(,0
Triste pq minha amiga n me dá atenção :(,0
"poxa, perderam :(",0
Yodeus ta com olho vermelho de quem chorou :(,0
Bia nem quis me responder :(,0
MEU DEUS :( https://t.co/Xs91EVMvXE,0
@oquedizerlarry @larriehflowers_ Pelo amor de Harry &amp; Louis e Liam &amp; Zayn please me indica :(,0
amanha q era dia de quebra a vala :(,0
Queria katarina :( #MSI2017,0
"@_titool Nossa, pq vc eh grosso cmg :(",0
"mais uma noite triste,só que dessa vez sem minha irma :(",0
@Socratianus tipo eu tentando interagir com o koala corp :-(,0
Nunca :( https://t.co/U8aPZ2mcgh,0
@MasQueMelo @csofiar a carla nao gosta das minhas musicas :(,0
@nosfatizuiu ah anjo :(,0
@AlbertoFrancoX @filipatavarespt @SaraStorm_ tens de admitir q teve piada :(,0
o brtt triste &gt;:(,0
@caju_sz Porra caju que maldade esse tweet :(,0
@lmjscocaine Eu tbm :(,0
já disse que faço só merda? pqp :-(,0
ô meu deusi :( https://t.co/oc3Q0Imerh,0
pq quase não te vejo mais na rua ? — Não to saindo ultimamente :(  https://t.co/QgY8JcEmAQ,0
"@byuuns vou sim, infelizmente :(",0
Queria uma boy ai :(,0
"Coitadinhos... Vamos dar rosas brancas para eles, assim eles param de assaltar. Nós que somos os culpados. :( https://t.co/yromUYxDoj",0
@baepseaz claramente eu :( eu me sinto tão mal ;(,0
Tanta gente prometeu ir na minha Codic e não vão vir :(,0
@tinidonzela CASOU AMIGA VC ACHA QUE O CAST TODO IA SE JUNTAR ASSIM DO NADA só faltou o tom :(,0
@Iastsith ata seu mentiroso do krlh mas td bem eu to c sdd tb :(,0
The Get Down pisa em todos os sentidos AAAAAAAAAAAA N QUERO Q ACABE :(,0
foi no viaduto hj ? — queria ter ido :(  https://t.co/T1Jjhcl8TW,0
cade a pamela :(,0
N é por nada não mas hj eu tô muito bonita. Pena que ninguém vai me ver assim :(,0
"@lauzcabeyo sim, demais. tá mt caidinha :(",0
@funnyhoneymoon né? tem o kylie live in ny mas não tem a X Tour por exemplo :(,0
És mesmo ganda porca crlh — :( https://t.co/t8xWFb1ABg,0
"Muito triste com a eliminação da RED :(, quase infartei com esse game... #MSI2017",0
@feelserena eh as ponta mesmo que eu to pensando em pintar mas ai se ficar bosta vou ter q cortar o cabelo curtinho dnv :(,0
"Mano, não acredito que a red saiu :(",0
queria tanto uns goro :(,0
que sorriso mais precioso de mamãe :( https://t.co/yqgJJx8bCy,0
Só qr mimos :(,0
@justyeco VO CHAMAR A SUA DONA P TE PRENDER &gt;:(,0
"@proudtwice Ah sim, eu nem tenho Tumblr :(",0
Fico muito puto pela falta de sinceridade de quem eu gosto :(,0
minha tia trouxe chocolate :(,0
"Apetece me falar, mandem me dm :(",0
"@zjmblows que pena :( saiba que se você quiser uma amiga conte comigo 
qual e o seu nome amor??",0
@capopafollowt coisas horríveis aconteceram hjj... gosto nem d lembrar :(,0
@durtoff E o Paulo não levou um estaladao ainda :(,0
@Hfollow_ Quero mto :(,0
Esqueci-me da minha garrafa na cozinha e estou com preguiça de ir lá buscar :(,0
"olha que coisa mais lindinha, to mais triste do que ja tava :-(. https://t.co/Ti9y3A8L0L",0
"eu não sou má :( sou savage... HAHAH SIM, ARRASOU, e o asiático maigod tou a chorar e não disse por onde https://t.co/ppGwpb5vDV",0
"@blahsted Minha Cindy, sabes que continuarei aqui, amo-te :(",0
eu te amo :( https://t.co/yQAjGIKqmh,0
meu neném :( https://t.co/QG1TU2a9A3,0
to muito triste :( https://t.co/XxoU7vXR1u,0
"top 3 sasha valentina shea
queria a nina mas infelizmente acho q ela vai se autosabotar :(",0
"@celshowz Ah mais acho que eles não deveria, o segundo jogo era importante mas esse tbm era. :( Sem contar que aque… https://t.co/ujo4OOKVKY",0
eu to tão malzinha cmg mesma ultimamente :(,0
td de novo :( mas agr certo,0
"Mano eu queria postar um vídeo, porem tá dando pau affffffff :(",0
minha mae vai pegar o notebook :(,0
aaaaaaa que linda :( https://t.co/UZ0zyijfL9,0
Estou tristinha :(,0
Os Bins estão indo. :( https://t.co/OUpsmRwHIS,0
@Horanvarejera eu sou completamente viciada mas não arranjo mais ninguém pra jogar :(,0
o gu e o vilmar são minha maior saudade :(,0
"@trishznjh Não parece, mas é :(",0
"Futebol virou mesmo uma ""revista"" de fofoca :(",0
@Trash_888 @NetflixBrasil Foda-se :( içu é un abisurdo,0
que saudade do meu domba aaaaa :(,0
Quase não falei com meu amor hoje :(,0
@beatttch Putz vc tem cisto? :( já tentou resolver c a gine?,0
@clarissecphg @jppinto7 @aaradasp são todos :(,0
tenho certeza que acabou :(,0
@seasyde kkkkkkkkk n faz isso :(,0
Ele é lindo :( https://t.co/GHH9sV3uUh,0
Saudades #RBD! :(,0
GENTE VAMOS A GENTE NÃO MORDE E NÃO OBRIGAMOS NINGUÉM A NADA :( https://t.co/Pj69hSxsUz,0
@kehIaur poxa eli pq desistiu? :( ta q to feia hj vc ia levar um susto,0
"ah, não era sobre mim :( era sobre a minha tia! 

q troste",0
@CamilaGreg_ kkkkkkkjj para cams ela vai querer te bater tbm :(,0
"Tô com o rosto vermelho de tanto chorar, eles pegam pesado :(",0
@frokiinha Não é só vc :-(,0
Vocês já tiveram crise de identidade? Eu to tendo :(,0
Eita ™ :( https://t.co/5MlH8WA6AY,0
@IgorSaringer o que eu faço pra cê me notar hein? Pqp eu vou desistir :(,0
aí que saudade das minhas pontas :(,0
minha rinite atacou de um jeito :(,0
Só queria q meu celular entrasse no WiFi da Ludy :(,0
aaaaa o que me resta é esperar pra ir morar em LA e ter um Starbucks squad :( https://t.co/NO9v7veiQ2,0
"Marley e eu! Ganda filme ❤
Pena é o final... :-( mas aconselho a ver...",0
ai meu amor como eu te amo demais :( https://t.co/chZLgR1IAc,0
"Eu qria tanto ter tempo pra me dedicar aos estudos Marvel/DC :( 
Mas ultimamente n to tendo tempo nem de estudar pro ENEM",0
mandem mais correios!!!!! :(,0
ai o justin é tão lindo né meudeus amor da minha vida pra sempre aaaaa não canso de dizer isso :(,0
"@dihcrf_ oi @and_carollina já to com saudade, volta :(",0
"@mkarolqueiroz Nossa, keria. Vou só pingar em nyc :( kahdwjkdsk 

boa viagem, bb! E se eu for mesmo, quero te ver em LA em junho",0
Ramiro :(,0
@theonlytuca @bitolada vou passar essa :( ta frio demais,0
@silvainillaa Me da penita  esa gente :(,0
"@gabsayshi ele só precisa achar o caminho dele, pra logo logo ele estar com a mãe dele que era o que ele mais queria :( estou orando também",0
@todjiroli @tomasscadete foi mm c a tua desculpa :(,0
@manuriosfdez Me rindo :(,0
@camilast91 fala comigo :(,0
Esqueci totalmente que o show dos mutantes era hoje :(,0
Mas como eu queria passar um azul aqui :(,0
"jungkook todo de preto, de óculos, olha os pezinhos, me arrasa de qualquer jeito msm :( https://t.co/24WdiGw3PG",0
@letsrib não so voce :(,0
eu quando o Vinicius curtia minhas fotos :( https://t.co/ksTf4n1qok,0
La foto de rigor :( #SanTelmOFF https://t.co/oKNd8KVies,0
Mas pior :( https://t.co/OcRjeQJMdn,0
"@cleten eu queria ir no Rock In Rio no dia do Shawn Mendes, vou só chorar no dia mesmo :(",0
@Joga51 acontece comigo também :(,0
"eu só queria ter uma namorada branquinha, trevosa e tatuada :(",0
só queria terminar o domingo com o ouvido destrancado :(,0
Aiai :(,0
@Dri_ka76 Definitivamente... Flamengo sempre vale... É eu já tô parado a muito tempo... :(,0
"@tulioorocha_ só queria te ver, te abraçar bem forte :( venham pra BH por favor",0
@ABenfiquistaFIX Eu nem queria q ele me bloqueasse e ele bloqueou :(,0
@virusheeran tb não :(,0
"Ah meu Deus, ajuda minha família por favor :(",0
"@parrillaskies pegaram ela filmando na con e desde então ela sumiu, eu to até preocupada :(",0
essa nova temporada de better call saul n ta parecendo mto boa :(,0
to sem celular :(,0
"@_minorith a vida ela não é justa

:(",0
sim mas não foi de propósito :( https://t.co/fJ480Os3PK,0
"@DiegoQueiroz_ Queria muito, mas nao sei o que :(",0
só brinca com o meu coração :( — Que isso  https://t.co/h1jrsD4Y80,0
"@deboracamargg Eca nada, você vai ter que aprender a fazer :(",0
"@wtfv1c_ pois é, em mim tambem :(",0
queria ir na facilpa amanhã :(,0
@juninmoreira10 ainda não :(,0
"os vídeos que eles postam são lindos, eu sempre choro assistindo :(",0
@brucutuleiga sim.................... miltao é meu deus... mas belchior tb era :(,0
"@jumperbrasil Tá foda! Kobe, Duncan, Pierce... Daqui a pouco vai ser Nowitzki e Carter. Maldito tempo que não pára... :(",0
Vou pra casa pq não gosto de chorar na frente das pessoas :(,0
Bate um aperto no coração saber q a gnt ta em um país q nós próprios gostamos de nos prejudicar :(,0
Aquele momento que tu tem um compromisso que te impede de ir no show da sua banda favorita :( https://t.co/nQzyET8Uyj,0
to muito triste com a morte do meu fone :(,0
"keiller ratiou num gol :(, mas jogou muito",0
"Belchior tava compondo, mesmo longe, e já pensava em voltar e mostrar pra gente. :(
 https://t.co/q2HA8H79wY",0
Não estou entendendo bemno que a Emmanuelle está cantando. :( #ShowdosFamosos,0
@sivandaylight fiquei sim :( e tu?,0
Ai que merda que fome que eu estou :(,0
aaaaaa minhas nenes :( https://t.co/DPTLmjeW1B,0
@NormaniKordei ai anjinho se cuida :( pq eu não posso cuidar de ti neném,0
o que mais quero :( https://t.co/LmNeYrs4Fi,0
ontem :( tava tão bom bicho #PREMIOSMTVMIAW #MTVINSTAGLCABELLO https://t.co/1HfL1OYuUk,0
mandei gd piada e só o Bryan riu :(,0
Já me arrependi do q eu fiz mas era necessário :(,0
"@vihpessanha_ @PortalSkam eu assisti, morri de pena dela :(",0
"@uneautrechose Amigan, c viu que vai ser só pocket show? :(",0
as fotos estão lindas mas esse ww me brocha  :( https://t.co/NuW7o1jVyw,0
@happlyziam boa sorte vei :(,0
"exato kkkkk as fotos já nos dão informações suficientes jkahss
também não fui e tenho saudades :( https://t.co/KKtVd5Kpx0",0
"Mentira não vou fzr surpresa nenhuma, não sou obrig... — Aa :( https://t.co/A3T4LnYfAq",0
"@CrimsonDisease Pô :(
Espero que você melhore logo",0
@certezabsolut o que eu sou de tereza? :(,0
horrivel ver muitas series pq eu sempre acabo esquecendo de voltar a ver uma :( eu queria maratonar gg mas tbm quero full house etc etc etc,0
mas até ele me ignorando porra :(,0
eu to tristão pq a red foi eliminada :(,0
ai você tá tão cansadinho mas continua sendo a coisinha mais amável do mundo eu to tão triste :( https://t.co/VSAPYQxCme,0
"De nada fofinhaa!!! 
Não me conheces :( — Na boaa https://t.co/JTrePcEhtL",0
@barbararotatori pouxa :( coloquei fé,0
@Colpeja_Fort no em faces plorar :(,0
Quero um aniversário de girafa :(,0
queria tanto pintar minha parede de verde água :(,0
@brttOficial Pena que não estou ae :(,0
amanhã é dia de fim de pausa :(,0
Me chamaram pra trabalhar fazendo entrega mas aah :( não quero estragar a pratinha,0
@eucarolmacedo Ela foi a primeira ou teve alguma apresentação antes?? Acabei de ligar a TV :(,0
"Nossa :(
Será que é tão difícil entender que não existe isso de ""cabelo ruim""? Quantas pessoas vão precisar passar… https://t.co/tikASvXlGd",0
to na bad sem celular em :(,0
"@nalaurafgc Abre não, sempre tem um jeito de resolver :(",0
"@O92SHN @393HSK Eu tbm to muito feliz, mais ainda por ver meu Omma tão animado e feliz, obrigado por fazer ele sorrir assim appa :(",0
nao quero ir embora :(,0
Alguém me tira de casa pfvr :(,0
@lua_lessa achei que a resposta seria eu :( kkkkkk coitado dele então,0
n acredito que o james foi embora :(,0
Poxa só uma conchinha hj :(,0
aa meu bebe :( https://t.co/lYm6W2veiU,0
"@iagofuckingreis amigo, eu to esperando os shampoos que a mamae comprou acabarem pra fazer :(",0
"@deepblueesea yap :( tinha bue merdas no pc, bue fotos e memes.. tudo c o crl",0
É muito injusto a Red não vencer por aquela partida :( venceram o boss izi mas perderam pra npc normal y.y,0
@hoodspooky Ele perdeu a carinha de neném muito rápido :( aí que sdds de 2014,0
sdd do meu amor :(,0
Tão bonitinhas. :( https://t.co/gJYsBaDuxc,0
é Assassino e porco :( https://t.co/JmCUL2jLZX,0
@MeliciaDelissa Eu tenho menos de um mês aqui. Acho q da China não rola :(,0
Nego sempre sobe tag pra lol e dota mas nunca sobe tag pra cs :( titi,0
eu to tao desatualizada em lmix mas to meio sem tempo :(,0
@FollowTrickWell eu quero os ffs :( tô recomeçando,0
meu sonho de padaria serio :( https://t.co/TXtEN2srsd,0
@RaffaThamires Sai correndo de lá com a crentaiada jogando água benta em mim :(,0
@Brokenshard_ O unico erro foi colocar yoda só na ultima partida :(,0
Ontem teve aula de salsa mas nem fui pq tava frio e chovendo :(,0
"@ppasstro Te entendo perfeitamente! Estou bolado pq perdi todos os meus textos :( mas fazer o que, a vida da dessas né",0
Eu fico bem chateado em ver a imaturidade dos torcedores no cenário br de lol :(,0
"@irgoe para, te amo :(",0
@asbelial ai não gostei do meu :( não gostei de nada que o novo pottermore colocou pra mim,0
